instance_id,vanilla_status,tdd_prompt_status,graphrag_status,vanilla_patch_empty,tdd_patch_empty,graphrag_patch_empty,graphrag_loop_abort_reason,graphrag_patch_gate_reason,graphrag_test_signal_reliable,graphrag_indexed_search_used,graphrag_impacted_run,regression_vs_best_baseline,won_by_graph_only
django__django-11138,unresolved,unresolved,unresolved,0,0,0,,ok,True,True,0,0,0
django__django-11141,unresolved,unresolved,unresolved,0,0,0,,ok,True,True,0,0,0
django__django-11149,unresolved,unresolved,unresolved,0,0,0,search_only_streak:8,ok,True,True,0,0,0
django__django-11163,resolved,resolved,resolved,0,0,0,,ok,True,True,0,0,0
django__django-11179,resolved,resolved,resolved,0,0,0,,ok,True,True,0,0,0
django__django-11206,unresolved,unresolved,unresolved,0,0,0,,ok,True,True,0,0,0
django__django-11211,unresolved,empty,empty,0,1,1,no_edit_progress:16,empty_diff;indexed_search_missing_without_unit_test,True,False,0,0,0
django__django-11239,unresolved,unresolved,unresolved,0,0,0,no_diff_streak:12,ok,True,True,0,0,0
django__django-11265,unresolved,empty,empty,0,1,1,no_edit_progress:16,empty_diff;indexed_search_missing_without_unit_test,True,False,0,0,0
django__django-11276,resolved,resolved,unresolved,0,0,0,,ok,True,True,0,1,0
django__django-11292,resolved,unresolved,unresolved,0,0,0,no_diff_streak:12,ok,True,True,0,1,0
django__django-11299,unresolved,unresolved,empty,0,0,1,no_edit_progress:16,empty_diff;indexed_search_missing_without_unit_test,True,False,0,0,0
django__django-11333,unresolved,unresolved,empty,0,0,1,instance_timeout:1200s,,,,,0,0
django__django-11400,unresolved,unresolved,unresolved,0,0,0,no_diff_streak:12,ok,True,True,1,0,0
django__django-11433,unresolved,empty,empty,0,1,1,instance_timeout:1200s,,,,,0,0
django__django-11451,unresolved,unresolved,unresolved,0,0,0,,ok,True,True,0,0,0
django__django-11477,unresolved,unresolved,empty,0,0,1,instance_timeout:1200s,,,,,0,0
django__django-11490,unresolved,unresolved,unresolved,0,0,0,,ok,True,True,0,0,0
django__django-11532,resolved,unresolved,resolved,0,0,0,no_diff_streak:12,ok,True,True,0,0,0
django__django-11551,unresolved,resolved,empty,0,0,1,no_diff_streak:12,"too_many_changed_lines:364_limit_200,catastrophic_deletion:329_removed_vs_35_added,syntax_compile_failed:django/contrib/admin/checks.py;indexed_search_missing_without_unit_test",True,False,0,1,0
django__django-11555,unresolved,unresolved,unresolved,0,0,0,no_diff_streak:12,ok,True,True,1,0,0
django__django-11603,resolved,resolved,empty,0,0,1,,repetitive_code:max_repeat=4,True,True,0,1,0
django__django-11728,unresolved,unresolved,unresolved,0,0,0,,ok,True,True,0,0,0
django__django-11734,empty,unresolved,unresolved,1,0,0,no_diff_streak:12,ok,True,True,1,0,0
django__django-11740,empty,empty,empty,1,1,1,no_edit_progress:16,empty_diff;indexed_search_missing_without_unit_test,True,False,0,0,0
django__django-11749,unresolved,empty,empty,0,1,1,no_edit_progress:16,empty_diff,True,False,0,0,0
django__django-11790,empty,unresolved,empty,1,0,1,instance_timeout:1200s,,,,,0,0
django__django-11815,resolved,resolved,unresolved,0,0,0,,ok,True,True,0,1,0
django__django-11820,unresolved,empty,empty,0,1,1,instance_timeout:1200s,,,,,0,0
django__django-11848,unresolved,unresolved,empty,0,0,1,instance_timeout:1200s,,,,,0,0
django__django-11880,resolved,resolved,resolved,0,0,0,no_diff_streak:12,ok,True,True,0,0,0
django__django-11885,empty,empty,empty,1,1,1,instance_timeout:1200s,,,,,0,0
django__django-11951,resolved,resolved,resolved,0,0,0,,ok,True,True,0,0,0
django__django-11964,empty,empty,empty,1,1,1,no_edit_progress:16,empty_diff,True,False,0,0,0
django__django-11999,unresolved,empty,unresolved,0,1,0,search_only_streak:8,ok,True,True,0,0,0
django__django-12039,unresolved,empty,unresolved,0,1,0,no_diff_streak:12,ok,True,True,0,0,0
django__django-12050,resolved,resolved,resolved,0,0,0,no_diff_streak:12,ok,True,True,1,0,0
django__django-12125,resolved,resolved,empty,0,0,1,instance_timeout:1200s,,,,,1,0
django__django-12143,resolved,empty,resolved,0,1,0,no_diff_streak:12,ok,True,True,1,0,0
django__django-12155,unresolved,resolved,resolved,0,0,0,no_diff_streak:12,ok,True,True,0,0,0
django__django-12193,unresolved,empty,unresolved,0,1,0,no_diff_streak:12,ok,True,True,1,0,0
django__django-12209,unresolved,resolved,empty,0,0,1,instance_timeout:1200s,,,,,1,0
django__django-12262,unresolved,unresolved,empty,0,0,1,instance_timeout:1200s,,,,,0,0
django__django-12273,empty,unresolved,empty,1,0,1,instance_timeout:1200s,,,,,0,0
django__django-12276,resolved,resolved,resolved,0,0,0,format_error_limit:8,ok,True,True,0,0,0
django__django-12304,unresolved,unresolved,empty,0,0,1,instance_timeout:1200s,,,,,0,0
django__django-12308,unresolved,empty,empty,0,1,1,no_edit_progress:16,empty_diff,True,False,0,0,0
django__django-12325,unresolved,unresolved,empty,0,0,1,instance_timeout:1200s,,,,,0,0
django__django-12406,empty,empty,empty,1,1,1,instance_timeout:1200s,,,,,0,0
django__django-12419,resolved,resolved,resolved,0,0,0,no_diff_streak:12,ok,True,True,0,0,0
django__django-12663,resolved,resolved,resolved,0,0,0,no_diff_streak:12,ok,True,True,0,0,0
django__django-12708,resolved,empty,unresolved,0,1,0,no_diff_streak:12,ok,True,True,2,1,0
django__django-12713,resolved,empty,unresolved,0,1,0,no_diff_streak:12,ok,True,True,1,1,0
django__django-12741,empty,resolved,unresolved,1,0,0,,ok,True,True,0,1,0
django__django-12754,unresolved,empty,empty,0,1,1,instance_timeout:1200s,,,,,0,0
django__django-12774,unresolved,empty,empty,0,1,1,instance_timeout:1200s,,,,,0,0
django__django-12858,empty,empty,empty,1,1,1,instance_timeout:1200s,,,,,0,0
django__django-12965,unresolved,empty,unresolved,0,1,0,no_diff_streak:12,ok,True,True,0,0,0
django__django-13012,resolved,resolved,empty,0,0,1,instance_timeout:1200s,,,,,1,0
django__django-13023,unresolved,unresolved,unresolved,0,0,0,no_diff_streak:12,ok,True,True,0,0,0
django__django-13028,resolved,resolved,resolved,0,0,0,no_diff_streak:12,ok,True,True,4,0,0
django__django-13033,resolved,resolved,empty,0,0,1,,empty_diff,True,True,0,1,0
django__django-13089,unresolved,unresolved,unresolved,0,0,0,,ok,True,True,0,0,0
django__django-13109,resolved,resolved,empty,0,0,1,instance_timeout:1200s,,,,,1,0
django__django-13112,unresolved,unresolved,unresolved,0,0,0,no_diff_streak:12,ok,True,True,1,0,0
django__django-13121,unresolved,empty,empty,0,1,1,instance_timeout:1200s,,,,,0,0
